,word,frequency
1409,young,39
1410,tener,39
1411,bit,39
1412,chaired,39
1413,waiting,39
1414,beyond,39
1415,came,39
1416,book,39
1417,legalize,39
1418,mismo,39
1419,tactical_bruh,39
1420,china,39
1421,obviously,39
1422,urban,39
1423,houses,39
1424,drive,39
1425,recount,39
1426,necesito,39
1427,growing,39
1428,patriots,39
1429,interview,39
1430,x,39
1431,casa,39
1432,fear,39
1433,pues,39
1434,ground,39
1435,season,38
1436,aka,38
1437,homes,38
1438,raised,38
1439,air,38
1440,refusing,38
1441,anthony,38
1442,ustedes,38
1443,longer,38
1444,nazis,38
1445,cancha,38
1446,racism,38
1447,nope,38
1448,charged,38
1449,benefit,38
1450,integrity,38
1451,2019,38
1452,liberals,38
1453,meses,38
1454,crap,38
1455,streets,38
1456,vp,38
1457,rino,38
1458,financial,38
1459,army,38
1460,dabrandith,38
1461,fjbiden,38
1462,aid,38
1463,comment,38
1464,attorney,38
1465,dave,38
1466,speaking,38
1467,received,38
1468,noliewithbtc,38
1469,varsity,38
1470,reading,38
1471,fascism,38
1472,omg,38
1473,matters,38
1474,create,38
1475,showing,38
1476,christian,37
1477,telling,37
1478,scam,37
1479,girl,37
1480,afraid,37
1481,resistance,37
1482,update,37
1483,nearly,37
1484,honest,37
1485,neck,37
1486,judge,37
1487,empty,37
1488,protection,37
1489,hide,37
1490,sentoomey,37
1491,worker,37
1492,western,37
1493,info,37
1494,beto,37
1495,personal,37
1496,mañana,37
1497,ellos,37
1498,july,37
1499,short,37
1500,touch,36
1501,aquí,36
1502,suspended,36
1503,advocates,36
1504,staceyabrams,36
1505,expect,36
1506,eyes,36
1507,votethemout,36
1508,break,36
1509,otra,36
1510,assembly,36
1511,oath,36
1512,showed,36
1513,staff,36
1514,gives,36
1515,miss,36
1516,fl,36
1517,unlike,36
1518,partido,36
1519,claim,36
1520,larrytenney,36
1521,healthy,36
1522,caused,36
1523,within,36
1524,convenes,36
1525,bucks,36
1526,wtf,36
1527,loss,36
1528,signed,36
1529,include,36
1530,redistricting,36
1531,road,35
1532,antes,35
1533,jogger,35
1534,statement,35
1535,gqp,35
1536,09,35
1537,conservatives,35
1538,2022midterms,35
1539,republic,35
1540,known,35
1541,hacen,35
1542,force,35
1543,quite,35
1544,transcripts,35
1545,roll,35
1546,adamlaxalt,35
1547,star,35
1548,moment,35
1549,newjersey,35
1550,dark,35
1551,result,35
1552,rates,35
1553,fetterwoman,35
1554,chicago,35
1555,trump2024tosaveamerica,35
1556,updated,35
1557,realize,35
1558,reported,35
1559,unemployment,35
1560,woke,35
1561,vamos,35
1562,hunter,35
1563,recaps,35
1564,clown,35
1565,finally,35
1566,turnpike,35
1567,2018,35
1568,west,35
1569,hundreds,35
1570,township,35
1571,sí,35
1572,among,35
1573,laura_voteblue,35
1574,28,35
1575,regulations,35
1576,weed,35
1577,spot,35
1578,led,35
1579,weather,34
1580,sé,34
1581,communist,34
1582,private,34
1583,bc,34
1584,advocate,34
1585,base,34
1586,cityandstatepa,34
1587,pasenaterace,34
1588,meh,34
1589,blame,34
1590,created,34
1591,buena,34
1592,products,34
1593,yep,34
1594,biggest,34
1595,date,34
1596,decision,34
1597,ur,34
1598,despite,34
1599,costs,34
1600,deaths,34
1601,rejectoz,34
1602,example,34
1603,expected,34
1604,ron,34
1605,oregon,34
1606,nomination,34
1607,environmental,34
1608,illegals,34
1609,pgh,34
1610,celebrate,34
1611,massive,34
1612,1st,34
1613,respect,34
1614,keeps,34
1615,emergency,34
1616,estar,34
1617,source,34
1618,press,34
1619,ronfilipkowski,33
1620,changes,33
1621,met,33
1622,shut,33
1623,happens,33
1624,abuse,33
1625,park,33
1626,licensed,33
1627,currently,33
1628,gopchairwoman,33
1629,mention,33
1630,crimes,33
1631,sobre,33
1632,bunch,33
1633,gender,33
1634,dos,33
1635,died,33
1636,saturday,33
1637,holding,33
1638,brown,33
1639,fellow,33
1640,charge,33
1641,carry,33
1642,protecting,33
1643,evidence,33
1644,midterm,33
1645,experiments,33
1646,prevent,33
1647,thousands,33
1648,constituents,33
1649,80,33
1650,keystone,33
1651,swpa,33
1652,retirement,33
1653,era,33
1654,trash,33
1655,color,33
1656,related,33
1657,bullshit,33
1658,authority,33
1659,domestic,33
1660,anywhere,33
1661,unos,33
1662,recently,33
1663,traitor,33
1664,water,33
1665,26,33
1666,delivery,32
1667,minnesota,32
1668,politician,32
1669,nadie,32
1670,supposed,32
1671,sell,32
1672,mierda,32
1673,followers,32
1674,tired,32
1675,east,32
1676,fue,32
1677,fotos,32
1678,feels,32
1679,hypocrite,32
1680,offer,32
1681,lawsuit,32
1682,march,32
1683,buying,32
1684,senmastriano,32
1685,largest,32
1686,jim_jordan,32
1687,lines,32
1688,panel,32
1689,jennifershutt,32
1690,crudités,32
1691,malcolm,32
1692,monster,32
1693,programs,32
1694,senrickscott,32
1695,ridiculous,32
1696,roe,32
1697,false,32
1698,companies,32
1699,worry,32
1700,ga,32
1701,seats,32
1702,grow,32
1703,effort,32
1704,summer,32
1705,development,32
1706,democratshateamerica,32
1707,walk,32
1708,proof,31
1709,return,31
1710,directly,31
1711,reinstated,31
1712,investigation,31
1713,struggling,31
1714,poco,31
1715,2024,31
1716,bar,31
1717,starting,31
1718,endorsing,31
1719,glad,31
1720,matt,31
1721,moved,31
1722,suffering,31
1723,rid,31
1724,johnson,31
1725,recovery,31
1726,diet,31
1727,easy,31
1728,karilake,31
1729,ℹ,31
1730,obama,31
1731,stopped,31
1732,scranton,31
1733,stage,31
1734,wegners,31
1735,hagan,31
1736,extremist,31
1737,makepennsylvaniafreeagain,31
1738,seguir,31
1739,failure,31
1740,gubernatorial,31
1741,block,31
1742,southern,31
1743,roevember,31
1744,probation,31
1745,pasenatedems,31
1746,recreational,31
1747,pull,31
1748,banking,31
1749,releases,31
1750,expand,31
1751,outside,31
1752,degree,31
1753,victory,31
1754,mandate,31
1755,chose,31
1756,governors,31
1757,disaster,31
1758,decades,31
1759,prisons,31
1760,polling,31
1761,fully,30
1762,carlahsands,30
1763,libertarian,30
1764,cars,30
1765,proven,30
1766,dumb,30
1767,biology,30
1768,justin,30
1769,stauffer,30
1770,meidastouch,30
1771,victims,30
1772,avenue,30
1773,donation,30
1774,lack,30
1775,holiday,30
